message_id,message_date,product_id,category,message,status
CS-00132,2026-04-26,LR-SHP-001,상품,향 지속 시간이 궁금합니다.,open
CS-00137,2026-04-26,LR-SER-007,반품/교환,다른 상품으로 교환하고 싶어요.,open
CS-00034,2026-04-27,LR-TRT-003,구독,이번 달 구독을 건너뛰고 싶습니다.,pending
CS-00048,2026-04-27,LR-TON-006,반품/교환,다른 상품으로 교환하고 싶어요.,open
CS-00097,2026-04-27,LR-TRT-003,상품,향 지속 시간이 궁금합니다.,resolved
CS-00133,2026-04-27,LR-SER-007,결제,중복 결제된 것 같아요.,resolved
CS-00138,2026-04-27,LR-OIL-004,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00142,2026-04-27,LR-SER-007,상품,펌프 불량으로 교환 요청드립니다.,pending
CS-00149,2026-04-27,LR-MSK-005,배송,배송 일정 확인 부탁드립니다.,pending
CS-00052,2026-04-28,LR-KIT-008,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00064,2026-04-28,LR-KIT-008,구독,구독 할인 적용 여부가 궁금합니다.,pending
CS-00105,2026-04-28,LR-TRT-003,상품,두피가 민감한 편인데 사용 가능할까요?,pending
CS-00106,2026-04-29,LR-KIT-008,결제,중복 결제된 것 같아요.,open
CS-00174,2026-04-29,LR-MSK-005,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,pending
CS-00102,2026-04-30,LR-SHP-001,결제,영수증 발급 부탁드립니다.,open
CS-00116,2026-04-30,LR-TRT-003,결제,중복 결제된 것 같아요.,resolved
CS-00119,2026-04-30,LR-TRT-003,상품,두피가 민감한 편인데 사용 가능할까요?,pending
CS-00125,2026-04-30,LR-TRT-003,상품,향 지속 시간이 궁금합니다.,resolved
CS-00126,2026-04-30,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,pending
CS-00167,2026-04-30,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,pending
CS-00173,2026-04-30,LR-OIL-004,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00006,2026-05-01,LR-MSK-005,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00008,2026-05-01,LR-KIT-008,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00013,2026-05-01,LR-TRT-003,결제,영수증 발급 부탁드립니다.,resolved
CS-00093,2026-05-01,LR-CND-002,배송,배송 일정 확인 부탁드립니다.,pending
CS-00114,2026-05-01,LR-KIT-008,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00154,2026-05-01,LR-OIL-004,구독,구독 할인 적용 여부가 궁금합니다.,pending
CS-00055,2026-05-02,LR-SHP-001,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00103,2026-05-02,LR-OIL-004,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00135,2026-05-02,LR-OIL-004,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00147,2026-05-02,LR-KIT-008,구독,정기배송 주기를 변경하고 싶어요.,open
CS-00005,2026-05-03,LR-CND-002,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00020,2026-05-03,LR-TRT-003,결제,중복 결제된 것 같아요.,pending
CS-00049,2026-05-03,LR-SHP-001,결제,중복 결제된 것 같아요.,open
CS-00058,2026-05-03,LR-KIT-008,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00104,2026-05-03,LR-OIL-004,배송,상자가 찌그러져 도착했어요.,resolved
CS-00172,2026-05-03,LR-CND-002,구독,정기배송 주기를 변경하고 싶어요.,open
CS-00042,2026-05-04,LR-OIL-004,구독,구독 할인 적용 여부가 궁금합니다.,resolved
CS-00164,2026-05-04,LR-TON-006,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00061,2026-05-05,LR-TRT-003,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00069,2026-05-05,LR-CND-002,배송,배송 일정 확인 부탁드립니다.,pending
CS-00113,2026-05-05,LR-CND-002,결제,중복 결제된 것 같아요.,resolved
CS-00015,2026-05-06,LR-TON-006,구독,이번 달 구독을 건너뛰고 싶습니다.,pending
CS-00031,2026-05-06,LR-TRT-003,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00056,2026-05-06,LR-TON-006,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00094,2026-05-06,LR-TRT-003,구독,구독 할인 적용 여부가 궁금합니다.,resolved
CS-00130,2026-05-06,LR-KIT-008,결제,영수증 발급 부탁드립니다.,resolved
CS-00179,2026-05-06,LR-CND-002,구독,구독 할인 적용 여부가 궁금합니다.,resolved
CS-00021,2026-05-07,LR-CND-002,구독,정기배송 주기를 변경하고 싶어요.,resolved
CS-00176,2026-05-07,LR-TRT-003,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00033,2026-05-08,LR-MSK-005,결제,영수증 발급 부탁드립니다.,resolved
CS-00062,2026-05-08,LR-KIT-008,결제,중복 결제된 것 같아요.,resolved
CS-00101,2026-05-08,LR-KIT-008,배송,상자가 찌그러져 도착했어요.,resolved
CS-00136,2026-05-08,LR-OIL-004,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00041,2026-05-09,LR-SER-007,구독,정기배송 주기를 변경하고 싶어요.,resolved
CS-00120,2026-05-09,LR-KIT-008,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00068,2026-05-10,LR-OIL-004,구독,이번 달 구독을 건너뛰고 싶습니다.,resolved
CS-00086,2026-05-10,LR-CND-002,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00118,2026-05-10,LR-TRT-003,결제,중복 결제된 것 같아요.,resolved
CS-00098,2026-05-11,LR-TRT-003,구독,이번 달 구독을 건너뛰고 싶습니다.,open
CS-00169,2026-05-11,LR-CND-002,결제,영수증 발급 부탁드립니다.,pending
CS-00012,2026-05-12,LR-SER-007,배송,배송지가 잘못 입력되어 변경하고 싶어요.,open
CS-00044,2026-05-12,LR-OIL-004,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00050,2026-05-12,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00085,2026-05-12,LR-MSK-005,구독,정기배송 주기를 변경하고 싶어요.,resolved
CS-00177,2026-05-12,LR-MSK-005,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00040,2026-05-13,LR-TRT-003,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00083,2026-05-13,LR-TON-006,상품,두피가 민감한 편인데 사용 가능할까요?,pending
CS-00089,2026-05-13,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,open
CS-00115,2026-05-13,LR-MSK-005,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00156,2026-05-13,LR-OIL-004,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00011,2026-05-14,LR-MSK-005,결제,영수증 발급 부탁드립니다.,resolved
CS-00023,2026-05-14,LR-SHP-001,배송,배송 일정 확인 부탁드립니다.,open
CS-00059,2026-05-14,LR-SHP-001,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,open
CS-00146,2026-05-14,LR-SHP-001,구독,이번 달 구독을 건너뛰고 싶습니다.,resolved
CS-00002,2026-05-15,LR-TON-006,구독,구독 할인 적용 여부가 궁금합니다.,pending
CS-00010,2026-05-15,LR-MSK-005,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,open
CS-00074,2026-05-15,LR-TON-006,상품,두피가 민감한 편인데 사용 가능할까요?,open
CS-00161,2026-05-15,LR-KIT-008,반품/교환,환불 처리 상태 확인 부탁드립니다.,pending
CS-00022,2026-05-16,LR-TON-006,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00141,2026-05-16,LR-OIL-004,배송,배송지가 잘못 입력되어 변경하고 싶어요.,pending
CS-00148,2026-05-16,LR-TRT-003,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00007,2026-05-17,LR-TRT-003,결제,영수증 발급 부탁드립니다.,pending
CS-00045,2026-05-17,LR-TRT-003,반품/교환,환불 처리 상태 확인 부탁드립니다.,open
CS-00047,2026-05-17,LR-TON-006,배송,상자가 찌그러져 도착했어요.,resolved
CS-00163,2026-05-17,LR-MSK-005,구독,구독 할인 적용 여부가 궁금합니다.,resolved
CS-00099,2026-05-18,LR-TRT-003,상품,두피가 민감한 편인데 사용 가능할까요?,resolved
CS-00140,2026-05-18,LR-SER-007,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00077,2026-05-19,LR-SHP-001,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00009,2026-05-20,LR-SHP-001,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00039,2026-05-20,LR-MSK-005,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00054,2026-05-20,LR-SER-007,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00144,2026-05-20,LR-SER-007,배송,상자가 찌그러져 도착했어요.,resolved
CS-00178,2026-05-20,LR-SER-007,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00003,2026-05-21,LR-KIT-008,배송,상자가 찌그러져 도착했어요.,pending
CS-00016,2026-05-21,LR-TRT-003,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00038,2026-05-21,LR-MSK-005,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00065,2026-05-21,LR-SHP-001,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00100,2026-05-21,LR-TON-006,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00157,2026-05-21,LR-TRT-003,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00017,2026-05-22,LR-TRT-003,반품/교환,환불 처리 상태 확인 부탁드립니다.,open
CS-00078,2026-05-22,LR-MSK-005,구독,정기배송 주기를 변경하고 싶어요.,resolved
CS-00079,2026-05-22,LR-MSK-005,상품,향 지속 시간이 궁금합니다.,resolved
CS-00134,2026-05-22,LR-MSK-005,배송,상자가 찌그러져 도착했어요.,resolved
CS-00165,2026-05-22,LR-MSK-005,결제,영수증 발급 부탁드립니다.,pending
CS-00082,2026-05-23,LR-KIT-008,구독,이번 달 구독을 건너뛰고 싶습니다.,resolved
CS-00030,2026-05-24,LR-MSK-005,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00108,2026-05-24,LR-SER-007,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00139,2026-05-24,LR-SHP-001,배송,상자가 찌그러져 도착했어요.,resolved
CS-00166,2026-05-24,LR-SER-007,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00121,2026-05-25,LR-CND-002,상품,두피가 민감한 편인데 사용 가능할까요?,resolved
CS-00035,2026-05-26,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00043,2026-05-26,LR-OIL-004,반품/교환,환불 처리 상태 확인 부탁드립니다.,pending
CS-00158,2026-05-26,LR-OIL-004,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,pending
CS-00180,2026-05-26,LR-CND-002,배송,상자가 찌그러져 도착했어요.,resolved
CS-00037,2026-05-27,LR-SER-007,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00092,2026-05-27,LR-SER-007,결제,중복 결제된 것 같아요.,pending
CS-00096,2026-05-27,LR-KIT-008,결제,영수증 발급 부탁드립니다.,resolved
CS-00109,2026-05-27,LR-CND-002,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00014,2026-05-28,LR-SHP-001,배송,배송지가 잘못 입력되어 변경하고 싶어요.,open
CS-00076,2026-05-28,LR-SHP-001,구독,구독 할인 적용 여부가 궁금합니다.,open
CS-00090,2026-05-28,LR-SHP-001,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00107,2026-05-28,LR-CND-002,반품/교환,다른 상품으로 교환하고 싶어요.,open
CS-00110,2026-05-28,LR-KIT-008,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00122,2026-05-28,LR-OIL-004,반품/교환,환불 처리 상태 확인 부탁드립니다.,open
CS-00171,2026-05-28,LR-SER-007,반품/교환,다른 상품으로 교환하고 싶어요.,pending
CS-00032,2026-05-29,LR-OIL-004,구독,이번 달 구독을 건너뛰고 싶습니다.,pending
CS-00081,2026-05-29,LR-TON-006,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,open
CS-00087,2026-05-29,LR-SHP-001,상품,향 지속 시간이 궁금합니다.,pending
CS-00131,2026-05-29,LR-CND-002,구독,구독 할인 적용 여부가 궁금합니다.,resolved
CS-00143,2026-05-29,LR-MSK-005,반품/교환,다른 상품으로 교환하고 싶어요.,pending
CS-00053,2026-05-30,LR-SHP-001,배송,배송 일정 확인 부탁드립니다.,pending
CS-00145,2026-05-30,LR-OIL-004,반품/교환,환불 처리 상태 확인 부탁드립니다.,pending
CS-00170,2026-05-30,LR-TRT-003,구독,이번 달 구독을 건너뛰고 싶습니다.,resolved
CS-00018,2026-05-31,LR-TON-006,결제,중복 결제된 것 같아요.,resolved
CS-00073,2026-05-31,LR-TRT-003,반품/교환,환불 처리 상태 확인 부탁드립니다.,pending
CS-00072,2026-06-01,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00123,2026-06-01,LR-SHP-001,상품,두피가 민감한 편인데 사용 가능할까요?,open
CS-00004,2026-06-03,LR-TRT-003,배송,상자가 찌그러져 도착했어요.,pending
CS-00025,2026-06-03,LR-CND-002,배송,상자가 찌그러져 도착했어요.,pending
CS-00067,2026-06-03,LR-CND-002,상품,두피가 민감한 편인데 사용 가능할까요?,open
CS-00080,2026-06-03,LR-OIL-004,상품,향 지속 시간이 궁금합니다.,resolved
CS-00150,2026-06-03,LR-TRT-003,구독,구독 할인 적용 여부가 궁금합니다.,pending
CS-00155,2026-06-03,LR-SER-007,배송,상자가 찌그러져 도착했어요.,pending
CS-00160,2026-06-03,LR-KIT-008,반품/교환,다른 상품으로 교환하고 싶어요.,open
CS-00057,2026-06-04,LR-TRT-003,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00066,2026-06-04,LR-TON-006,결제,중복 결제된 것 같아요.,open
CS-00091,2026-06-04,LR-SHP-001,구독,이번 달 구독을 건너뛰고 싶습니다.,pending
CS-00095,2026-06-04,LR-TON-006,반품/교환,다른 상품으로 교환하고 싶어요.,pending
CS-00129,2026-06-04,LR-SHP-001,배송,상자가 찌그러져 도착했어요.,resolved
CS-00152,2026-06-04,LR-SHP-001,배송,배송지가 잘못 입력되어 변경하고 싶어요.,resolved
CS-00153,2026-06-04,LR-CND-002,결제,중복 결제된 것 같아요.,resolved
CS-00162,2026-06-04,LR-MSK-005,결제,영수증 발급 부탁드립니다.,pending
CS-00060,2026-06-05,LR-SHP-001,구독,정기배송 주기를 변경하고 싶어요.,pending
CS-00071,2026-06-05,LR-MSK-005,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,open
CS-00088,2026-06-05,LR-TRT-003,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00111,2026-06-05,LR-CND-002,상품,펌프 불량으로 교환 요청드립니다.,resolved
CS-00151,2026-06-05,LR-TON-006,결제,영수증 발급 부탁드립니다.,resolved
